product_id,product_name,category,brand,price_1_month_ago,price_1_week_ago,original_price,discounted_price,discount_percentage,competitor_price,rating,num_reviews,stock_left,is_flash_sale,is_fake_discount
P00001,Samsung Galaxy S23,Electronics,Samsung,51870.0,47646.0,58558,50739,13.35,,3.2,4163.0,214.0,0,1
P00002,Adidas Sneakers,Fashion,Adidas,8510.0,7802.0,9101,6917,24.0,6984.0,3.5,1032.0,69.0,0,0
P00003,LG Refrigerator,Appliances,LG,28697.0,29701.0,34986,29914,14.5,31080.0,3.7,4314.0,165.0,0,0
P00004,Boat Smart Watch,Electronics,Boat,3739.0,3826.0,4378,3810,12.97,3835.0,4.7,38.0,79.0,0,0
P00005,Dell Inspiron Laptop,Electronics,Dell,43289.0,45722.0,53240,45171,15.16,48163.0,4.0,4559.0,112.0,0,0
P00006,Voltas Air Conditioner,Appliances,Voltas,48698.0,49134.0,61967,50996,17.7,46935.0,4.5,5678.0,129.0,0,0
P00007,iPhone 14,Electronics,Apple,77244.0,70871.0,74373,62192,16.38,61125.0,4.0,5881.0,151.0,1,0
P00008,Puma Casual T-Shirt,Fashion,Puma,2004.0,1644.0,2032,1508,25.79,1394.0,3.4,6366.0,70.0,1,1
P00009,Godrej Office Chair,Furniture,Godrej,4262.0,4307.0,4597,4246,7.64,4417.0,4.0,3174.0,143.0,1,0
P00010,Adidas Sneakers,Fashion,Adidas,7874.0,7722.0,10730,8343,22.25,9206.0,3.3,4992.0,149.0,0,0
P00011,Ikea Wooden Dining Table,Furniture,Ikea,16600.0,14679.0,18209,16006,12.1,16737.0,3.5,2625.0,7.0,0,0
P00012,iPhone 14,Electronics,Apple,74713.0,71346.0,80121,73739,7.97,71257.0,3.9,6408.0,164.0,1,0
P00013,HP Pavilion Laptop,Electronics,HP,71711.0,74062.0,86877,71643,17.54,73911.0,4.8,2047.0,231.0,0,0
P00014,Dell Inspiron Laptop,Electronics,Dell,,74933.0,82269,62968,23.46,66605.0,4.1,3418.0,102.0,0,0
P00015,Puma Casual T-Shirt,Fashion,Puma,1176.0,1175.0,1398,1212,13.3,1337.0,3.5,1416.0,11.0,0,0
P00016,iPhone 14,Electronics,Apple,72600.0,61208.0,88633,72061,18.7,74285.0,3.7,1024.0,60.0,0,0
P00017,iPhone 13,Electronics,Apple,56638.0,59039.0,65060,58926,9.43,58162.0,4.0,,172.0,1,1
P00018,Nike Running Shoes,Fashion,Nike,7862.0,7476.0,9413,7577,19.5,8060.0,4.6,877.0,244.0,0,0
